Subject-ID,CH26_A-PEAK,CH26_A-P2P,CH26_A-RMS,CH26_A-MLocMaxV,CH26_A-MINLocMinV,CH26_A-MAV,CH26_A-MAVFD,CH26_A-MAVFDN,CH26_A-MAVSD,CH26_A-MAVSDN,CH26_F-zc,CH26_F-fmode,CH26_F-bw,CH26_F-cf,CH26_F-fmean,CH26_F-fmed,CH26_S-median,CH26_S-freqpond,CH26_S-area,CH26_S-areapond,CH26_S-me,CH26_S-sd,CH26_E-Aprox,CH26_E-Fuzzy,CH26_E-Sample,CH26_E-Shannon,CH26_E-Spectral,CH26_L-pldf,CH26_L-ldf,CH26_V-var,CH26_V-std,CH26_V-range,CH26_V-intrange,CH26_Sim-cohe_F_median,CH26_Sim-cohe_mean,CH26_Sim-cohe_pond_mean,CH26_Sim-cohe_areapond,CH26_Sim-corr,CH26_Sim-MutInfo,CH25_meanRR,CH25_rmssd,CH25_slopeRR
20120829-09_m_47,4.462,0.413,4.256585852,4.252310638,4.266713675,4.254541356,0.000389915,0.002955329,0.000677087,0.00513193,0,0,0,0,0.1,1.13E-10,130,130.0089025,37.24816548,0.013222636,0.136333021,0.01292963,0.003167344,0.003714849,0.002956196,5.664571802,1.87E-09,40871455774,0.999894489,0.017407146,0.131936144,0.413,0.203,256,0.984528762,128.1015241,252.2730675,0.321549293,8.229117089,0.956549891,0.923748447,0.01640625
20120829-09_m_47,4.135,0.222,3.990484919,3.98825,4.001122244,3.989895989,0.00028125,0.004101774,0.000558792,0.008149473,0,0,0,0,0.1,2.71E-12,130,129.4046137,36.92668756,0.013108515,0.071558229,0.006335137,0.002782193,0.003188551,0.002307914,4.819848586,2.27E-11,4.99E+11,0.9982081,0.004701556,0.06856789,0.222,0.087,256,0.992812523,128.1424595,254.3750695,0.879097118,6.912915166,1.002173629,0.968720127,0.002734375
20120829-09_m_47,3.452,0.101,3.394712647,3.391463203,3.396518272,3.394553426,0.000189276,0.005755796,0.00037833,0.011504878,0,0,0,0,0.1,1.07E-12,130,129.5501221,37.13972104,0.01318414,0.034390989,0.001257682,0.00535324,0.006325287,0.005135317,4.50218623,6.37E-12,1.44E+11,0.999084779,0.00108138,0.032884343,0.101,0.061,256,0.993516854,128.1533034,254.5077375,0.961850185,6.46404284,1.039925581,1.017070482,-0.00390625
20120829-09_m_47,3.299,0.148,3.209970102,3.21990604,3.204113402,3.209533546,0.000174716,0.003299777,0.000349201,0.006595189,0,0,0,0,0.1,2.59E-12,130,129.4033313,37.02285683,0.013142654,0.0553263,0.004773431,0.002703406,0.003202054,0.002496084,4.455508661,2.18E-11,21377776676,0.999283811,0.002803469,0.052947796,0.148,0.108,256,0.992092017,128.1495901,254.1276769,0.803948434,6.402381145,0.963859941,0.934761386,-0.00234375
20120829-09_m_47,3.564,0.097,3.510507951,3.513051546,3.511362369,3.510382677,0.000205256,0.006919766,0.000410657,0.013844448,0,0,0,0,0.1,1.70E-12,130,129.6075453,37.01370848,0.013139407,0.030583246,0.003161136,0.006962734,0.008668521,0.007232341,4.527926522,1.22E-11,59211018895,0.999880128,0.000879848,0.029662229,0.097,0.0515,256,0.992117412,128.1246835,254.1938447,0.075786317,6.494078481,1.029110426,1.004733929,0.005273438
20120829-09_m_47,3.333,0.068,3.305466591,3.303679537,3.306192661,3.305416045,0.000169389,0.009264791,0.000338899,0.018536164,0,0,0,0,0.1,1.19E-12,130,129.5051976,36.91099588,0.013102945,0.018679372,0.002084668,0.009122996,0.011100291,0.008906153,4.011617863,7.85E-12,50192643243,0.998853726,0.000334272,0.018283111,0.069,0.033,256,0.992493313,128.1137524,254.2999434,0.046540807,5.74786266,0.946938281,0.93297549,0.006835938
20120829-09_m_47,3.22,0.046,3.193771413,3.193759825,3.194049618,3.193746184,0.000174361,0.013732751,0.000348845,0.02747526,0,0,0,0,0.1,8.13E-13,130,129.9016725,37.11871391,0.013176682,0.01319624,0.001199867,0.011931496,0.012302524,0.010066494,3.384522549,4.00E-12,14430562307,0.998259749,0.000161207,0.012696712,0.046,0.022,256,0.993739978,128.1137348,254.6381835,0.918579647,4.851675063,0.99794175,0.967130082,0.010742188
20120829-09_m_47,3.081,0.063,3.039293748,3.041964444,3.037871921,3.039257011,0.000151989,0.010169075,0.000304085,0.020345374,0,0,0,0,0.1,1.19E-12,131,130.4957279,37.09365059,0.013167785,0.01537296,0.001505386,0.010446106,0.012441153,0.01091016,3.933540792,7.45E-12,31438997907,0.999275109,0.000223388,0.014946162,0.063,0.023,256,0.992280256,128.1077609,254.2521417,0.17379969,5.644102887,0.981662152,0.95058803,-0.00546875
20120829-09_m_47,3.382,0.151,3.294244584,3.304063636,3.295005076,3.293901668,0.000187145,0.003936638,0.000374423,0.007876074,0,0,0,0,0.1,2.09E-12,131,129.6794146,36.97143433,0.0131244,0.049715328,0.003515429,0.002848316,0.003584361,0.00260982,4.459507486,1.60E-11,52152363581,0.998568849,0.002259981,0.047539262,0.151,0.0755,256,0.993841606,128.2648052,254.5044809,0.959988402,6.404332379,1.00114199,0.966984935,0.009570313
20120829-09_m_47,3.185,0.162,3.065577244,3.082092466,3.051505814,3.065224352,0.000164773,0.00354184,0.000329663,0.007086197,0,0,0,0,0.1,3.75E-12,131,130.07199,37.22718057,0.013215187,0.048355273,0.006161228,0.003206237,0.003860648,0.003047392,4.518694388,3.50E-11,1.27E+11,0.99878056,0.002164276,0.046521784,0.162,0.034,256,0.992016092,128.2449859,254.0631476,0.570760235,6.490605027,0.941932781,0.911109542,-0.006445313
20120829-09_m_47,3.137,0.092,3.089834765,3.088206767,3.088022936,3.089628328,0.000171875,0.004811339,0.000343517,0.009616153,0,0,0,0,0.1,1.59E-12,130,129.7079355,36.94481717,0.013114951,0.037308992,0.002872382,0.003217083,0.004552095,0.002805099,4.092693603,1.04E-11,13832860625,0.999612085,0.001276126,0.035722901,0.092,0.074,256,0.991700651,128.1055593,254.1146637,0.910808992,5.878681684,0.986038857,0.953674793,0.001953125
20120829-09_m_47,2.962,0.032,2.942034402,2.941784038,2.940131707,2.942018459,0.000148437,0.015323159,0.00029698,0.030657205,0,0,0,0,0.1,8.41E-13,130,129.4540186,36.99132051,0.013131459,0.010038689,0.000838442,0.012391344,0.016058632,0.011639622,3.325842473,4.26E-12,19629612065,0.999088002,9.38E-05,0.009687134,0.032,0.017,256,0.993046942,128.1422322,254.3920262,0.194627161,4.766401585,0.978381295,0.944684472,0.01015625
20120829-09_m_47,3.178,0.224,2.988985476,3.023530026,2.962873563,2.988387291,0.000198153,0.00331323,0.000395737,0.006616934,0,0,0,0,0.1,1.21E-11,130,129.4498303,37.3096583,0.013244465,0.061981135,0.009888492,0.001455521,0.001704584,0.001137257,3.724904489,1.37E-10,5.74E+11,0.997783148,0.003576844,0.059806721,0.224,0.025,256,0.991525482,128.21664,253.9796488,0.667749089,5.319849171,0.912801539,0.907109619,0.024804687
